WLASL Glosses Ranked by Video Count
Total glosses: 2000
Total videos: 21083

Rank     Gloss                                    Videos       Percentage     
992      stare                                    10             0.05%
993      start                                    10             0.05%
994      store                                    10             0.05%
995      straw                                    10             0.05%
996      structure                                10             0.05%
997      suggest                                  10             0.05%
998      sun                                      10             0.05%
999      support                                  10             0.05%
1000     suppose                                  10             0.05%
1001     sure                                     10             0.05%
1002     surprise                                 10             0.05%
1003     sweater                                  10             0.05%
1004     swim                                     10             0.05%
1005     symbol                                   10             0.05%
1006     taste                                    10             0.05%
1007     team                                     10             0.05%
1008     telephone                                10             0.05%
1009     tennis                                   10             0.05%
1010     their                                    10             0.05%
1011     then                                     10             0.05%
1012     thing                                    10             0.05%
1013     third                                    10             0.05%
1014     thousand                                 10             0.05%
1015     three                                    10             0.05%
1016     tie                                      10             0.05%
1017     topic                                    10             0.05%
1018     touch                                    10             0.05%
1019     tournament                               10             0.05%
1020     try                                      10             0.05%
1021     two                                      10             0.05%
1022     type                                     10             0.05%
1023     umbrella                                 10             0.05%
1024     vegetable                                10             0.05%
1025     vocabulary                               10             0.05%
1026     waste                                    10             0.05%
1027     we                                       10             0.05%
1028     wear                                     10             0.05%
1029     weekly                                   10             0.05%
1030     welcome                                  10             0.05%
1031     winter                                   10             0.05%
1032     without                                  10             0.05%
1033     wolf                                     10             0.05%
1034     worm                                     10             0.05%
1035     wristwatch                               10             0.05%
1036     yourself                                 10             0.05%
1037     cost                                     9              0.04%
1038     diarrhea                                 9              0.04%
1039     ocean                                    9              0.04%
1040     thermometer                              9              0.04%
1041     above                                    9              0.04%
1042     accomplish                               9              0.04%
1043     adopt                                    9              0.04%
1044     advantage                                9              0.04%
1045     alphabet                                 9              0.04%
1046     anniversary                              9              0.04%
1047     another                                  9              0.04%
1048     appropriate                              9              0.04%
1049     arrogant                                 9              0.04%
1050     artist                                   9              0.04%
1051     background                               9              0.04%
1052     bee                                      9              0.04%
1053     behavior                                 9              0.04%
1054     bell                                     9              0.04%
1055     birth                                    9              0.04%
1056     bless                                    9              0.04%
1057     blood                                    9              0.04%
1058     boots                                    9              0.04%
1059     brave                                    9              0.04%
1060     breathe                                  9              0.04%
1061     bright                                   9              0.04%
1062     bull                                     9              0.04%
1063     butterfly                                9              0.04%
1064     card                                     9              0.04%
1065     category                                 9              0.04%
1066     catholic                                 9              0.04%
1067     cent                                     9              0.04%
1068     chemistry                                9              0.04%
1069     cherry                                   9              0.04%
1070     china                                    9              0.04%
1071     chop                                     9              0.04%
1072     christian                                9              0.04%
1073     cigarette                                9              0.04%
1074     clever                                   9              0.04%
1075     clown                                    9              0.04%
1076     coach                                    9              0.04%
1077     coat                                     9              0.04%
1078     cochlear implant                         9              0.04%
1079     coconut                                  9              0.04%
1080     common                                   9              0.04%
1081     commute                                  9              0.04%
1082     control                                  9              0.04%
1083     count                                    9              0.04%
1084     culture                                  9              0.04%
1085     daily                                    9              0.04%
1086     defend                                   9              0.04%
1087     degree                                   9              0.04%
1088     demonstrate                              9              0.04%
1089     department                               9              0.04%
1090     die                                      9              0.04%
1091     dig                                      9              0.04%
1092     dinner                                   9              0.04%
1093     dinosaur                                 9              0.04%
1094     diploma                                  9              0.04%
1095     director                                 9              0.04%
1096     disconnect                               9              0.04%
1097     discover                                 9              0.04%
1098     don't want                               9              0.04%
1099     drum                                     9              0.04%
1100     each                                     9              0.04%
1101     educate                                  9              0.04%
1102     electrician                              9              0.04%
1103     empty                                    9              0.04%
1104     england                                  9              0.04%
1105     establish                                9              0.04%
1106     excuse                                   9              0.04%
1107     eyeglasses                               9              0.04%
1108     faculty                                  9              0.04%
1109     fall in love                             9              0.04%
1110     famous                                   9              0.04%
1111     farm                                     9              0.04%
1112     fence                                    9              0.04%
1113     fix                                      9              0.04%
1114     flexible                                 9              0.04%
1115     flirt                                    9              0.04%
1116     flood                                    9              0.04%
1117     fork                                     9              0.04%
1118     four                                     9              0.04%
1119     fun                                      9              0.04%
1120     funeral                                  9              0.04%
1121     furniture                                9              0.04%
1122     gallaudet                                9              0.04%
1123     general                                  9              0.04%
1124     ghost                                    9              0.04%
1125     give up                                  9              0.04%
1126     glass                                    9              0.04%
1127     gorilla                                  9              0.04%
1128     gray                                     9              0.04%
1129     guide                                    9              0.04%
1130     habit                                    9              0.04%
1131     health                                   9              0.04%
1132     hearing aid                              9              0.04%
1133     heaven                                   9              0.04%
1134     heavy                                    9              0.04%
1135     helmet                                   9              0.04%
1136     hide                                     9              0.04%
1137     high school                              9              0.04%
1138     hockey                                   9              0.04%
1139     hold                                     9              0.04%
1140     honest                                   9              0.04%
1141     hug                                      9              0.04%
1142     hunt                                     9              0.04%
1143     image                                    9              0.04%
1144     influence                                9              0.04%
1145     interesting                              9              0.04%
1146     interpreter                              9              0.04%
1147     iran                                     9              0.04%
1148     italy                                    9              0.04%
1149     jewish                                   9              0.04%
1150     judge                                    9              0.04%
1151     key                                      9              0.04%
1152     label                                    9              0.04%
1153     leaf                                     9              0.04%
1154     left                                     9              0.04%
1155     lend                                     9              0.04%
1156     less                                     9              0.04%
1157     linguistics                              9              0.04%
1158     lonely                                   9              0.04%
1159     long                                     9              0.04%
1160     magic                                    9              0.04%
1161     mainstream                               9              0.04%
1162     major                                    9              0.04%
1163     manager                                  9              0.04%
1164     maximum                                  9              0.04%
1165     me                                       9              0.04%
1166     mexico                                   9              0.04%
1167     middle                                   9              0.04%
1168     mind                                     9              0.04%
1169     misunderstand                            9              0.04%
1170     monster                                  9              0.04%
1171     multiply                                 9              0.04%
1172     myself                                   9              0.04%
1173     nothing                                  9              0.04%
1174     october                                  9              0.04%
1175     odd                                      9              0.04%
1176     offer                                    9              0.04%
1177     on                                       9              0.04%
1178     only                                     9              0.04%
1179     opposite                                 9              0.04%
1180     out                                      9              0.04%
1181     overlook                                 9              0.04%
1182     path                                     9              0.04%
1183     percent                                  9              0.04%
1184     physics                                  9              0.04%
1185     piano                                    9              0.04%
1186     pick                                     9              0.04%
1187     pie                                      9              0.04%
1188     plate                                    9              0.04%
1189     pocket                                   9              0.04%
1190     popcorn                                  9              0.04%
1191     positive                                 9              0.04%
1192     pregnant                                 9              0.04%
1193     prevent                                  9              0.04%
1194     proof                                    9              0.04%
1195     pumpkin                                  9              0.04%
1196     purpose                                  9              0.04%
1197     race                                     9              0.04%
1198     realize                                  9              0.04%
1199     recognize                                9              0.04%
1200     refuse                                   9              0.04%
1201     relationship                             9              0.04%
1202     repeat                                   9              0.04%
1203     replace                                  9              0.04%
1204     report                                   9              0.04%
1205     represent                                9              0.04%
1206     request                                  9              0.04%
1207     result                                   9              0.04%
1208     reveal                                   9              0.04%
1209     ring                                     9              0.04%
1210     rob                                      9              0.04%
1211     rock                                     9              0.04%
1212     role                                     9              0.04%
1213     rope                                     9              0.04%
1214     rush                                     9              0.04%
1215     salute                                   9              0.04%
1216     satisfy                                  9              0.04%
1217     search                                   9              0.04%
1218     selfish                                  9              0.04%
1219     sensitive                                9              0.04%
1220     serve                                    9              0.04%
1221     seven                                    9              0.04%
1222     shampoo                                  9              0.04%
1223     she                                      9              0.04%
1224     shelf                                    9              0.04%
1225     shopping                                 9              0.04%
1226     sign language                            9              0.04%
1227     similar                                  9              0.04%
1228     sing                                     9              0.04%
1229     six                                      9              0.04%
1230     skeleton                                 9              0.04%
1231     sketch                                   9              0.04%
1232     skill                                    9              0.04%
1233     sleepy                                   9              0.04%
1234     slip                                     9              0.04%
1235     smell                                    9              0.04%
1236     sneeze                                   9              0.04%
1237     snob                                     9              0.04%
1238     specific                                 9              0.04%
1239     stamp                                    9              0.04%
1240     steel                                    9              0.04%
1241     strawberry                               9              0.04%
1242     subtract                                 9              0.04%
1243     subway                                   9              0.04%
1244     suffer                                   9              0.04%
1245     surface                                  9              0.04%
1246     sweep                                    9              0.04%
1247     swing                                    9              0.04%
1248     switzerland                              9              0.04%
1249     tale                                     9              0.04%
1250     tan                                      9              0.04%
1251     teeth                                    9              0.04%
1252     terrible                                 9              0.04%
1253     thankful                                 9              0.04%
1254     they                                     9              0.04%
1255     through                                  9              0.04%
1256     tiptoe                                   9              0.04%
1257     title                                    9              0.04%
1258     tooth                                    9              0.04%
1259     toothbrush                               9              0.04%
1260     total                                    9              0.04%
1261     tough                                    9              0.04%
1262     tradition                                9              0.04%
1263     trophy                                   9              0.04%
1264     trouble                                  9              0.04%
1265     true                                     9              0.04%
1266     trust                                    9              0.04%
1267     under                                    9              0.04%
1268     verb                                     9              0.04%
1269     wall                                     9              0.04%
1270     watermelon                               9              0.04%
1271     way                                      9              0.04%
1272     weird                                    9              0.04%
1273     while                                    9              0.04%
1274     wide                                     9              0.04%
1275     willing                                  9              0.04%
1276     wish                                     9              0.04%
1277     wonderful                                9              0.04%
1278     workshop                                 9              0.04%
1279     worse                                    9              0.04%
1280     wrench                                   9              0.04%
1281     responsibility                           8              0.04%
1282     a                                        8              0.04%
1283     a lot                                    8              0.04%
1284     abdomen                                  8              0.04%
1285     able                                     8              0.04%
1286     accountant                               8              0.04%
1287     action                                   8              0.04%
1288     active                                   8              0.04%
1289     activity                                 8              0.04%
1290     address                                  8              0.04%
1291     affect                                   8              0.04%
1292     afraid                                   8              0.04%
1293     against                                  8              0.04%
1294     agenda                                   8              0.04%
1295     ahead                                    8              0.04%
1296     aim                                      8              0.04%
1297     alcohol                                  8              0.04%
1298     algebra                                  8              0.04%
1299     all day                                  8              0.04%
1300     amazing                                  8              0.04%
1301     angle                                    8              0.04%
1302     apart                                    8              0.04%
1303     apostrophe                               8              0.04%
1304     appetite                                 8              0.04%
1305     appreciate                               8              0.04%
1306     april                                    8              0.04%
1307     archery                                  8              0.04%
1308     around                                   8              0.04%
1309     article                                  8              0.04%
1310     assistant                                8              0.04%
1311     attend                                   8              0.04%
1312     auction                                  8              0.04%
1313     authority                                8              0.04%
1314     average                                  8              0.04%
1315     awake                                    8              0.04%
1316     b                                        8              0.04%
1317     babysitter                               8              0.04%
1318     battle                                   8              0.04%
1319     beginning                                8              0.04%
1320     belief                                   8              0.04%
1321     bible                                    8              0.04%
1322     bike                                     8              0.04%
1323     blend                                    8              0.04%
1324     bone                                     8              0.04%
1325     bra                                      8              0.04%
1326     brief                                    8              0.04%
1327     broke                                    8              0.04%
1328     bug                                      8              0.04%
1329     bully                                    8              0.04%
1330     button                                   8              0.04%
1331     cabbage                                  8              0.04%
1332     cabinet                                  8              0.04%
1333     calculate                                8              0.04%
1334     calculator                               8              0.04%
1335     calculus                                 8              0.04%
1336     camping                                  8              0.04%
1337     canoe                                    8              0.04%
1338     careless                                 8              0.04%
1339     ceiling                                  8              0.04%
1340     cemetery                                 8              0.04%
1341     chapter                                  8              0.04%
1342     choir                                    8              0.04%
1343     circle                                   8              0.04%
1344     come                                     8              0.04%
1345     come here                                8              0.04%
1346     company                                  8              0.04%
1347     concept                                  8              0.04%
1348     concern                                  8              0.04%
1349     confront                                 8              0.04%
1350     confused                                 8              0.04%
1351     congress                                 8              0.04%
1352     connect                                  8              0.04%
1353     conquer                                  8              0.04%
1354     constitution                             8              0.04%
1355     contract                                 8              0.04%
1356     court                                    8              0.04%
1357     crab                                     8              0.04%
1358     cross                                    8              0.04%
1359     cruel                                    8              0.04%
1360     crush                                    8              0.04%
1361     date                                     8              0.04%
1362     december                                 8              0.04%
1363     decrease                                 8              0.04%
1364     deduct                                   8              0.04%
1365     defeat                                   8              0.04%
1366     deposit                                  8              0.04%
1367     depressed                                8              0.04%
1368     detach                                   8              0.04%
1369     determine                                8              0.04%
1370     diabetes                                 8              0.04%
1371     dime                                     8              0.04%
1372     dirt                                     8              0.04%
1373     disgust                                  8              0.04%
1374     dismiss                                  8              0.04%
1375     dizzy                                    8              0.04%
1376     document                                 8              0.04%
1377     dorm                                     8              0.04%
1378     dormitory                                8              0.04%
1379     downstairs                               8              0.04%
1380     economy                                  8              0.04%
1381     education                                8              0.04%
1382     effort                                   8              0.04%
1383     eighteen                                 8              0.04%
1384     engage                                   8              0.04%
1385     engagement                               8              0.04%
1386     engineer                                 8              0.04%
1387     envelope                                 8              0.04%
1388     erase                                    8              0.04%
1389     eternity                                 8              0.04%
1390     evening                                  8              0.04%
1391     everyday                                 8              0.04%
1392     expand                                   8              0.04%
1393     eye                                      8              0.04%
1394     eyes                                     8              0.04%
1395     fake                                     8              0.04%
1396     farmer                                   8              0.04%
1397     february                                 8              0.04%
1398     federal                                  8              0.04%
1399     final                                    8              0.04%
1400     florida                                  8              0.04%
1401     flute                                    8              0.04%
1402     forbid                                   8              0.04%
1403     forever                                  8              0.04%
1404     fourth                                   8              0.04%
1405     free                                     8              0.04%
1406     french fries                             8              0.04%
1407     gamble                                   8              0.04%
1408     gas                                      8              0.04%
1409     gasoline                                 8              0.04%
1410     generation                               8              0.04%
1411     geography                                8              0.04%
1412     german                                   8              0.04%
1413     girlfriend                               8              0.04%
1414     gold                                     8              0.04%
1415     grandma                                  8              0.04%
1416     grass                                    8              0.04%
1417     grow up                                  8              0.04%
1418     gun                                      8              0.04%
1419     haircut                                  8              0.04%
1420     hard of hearing                          8              0.04%
1421     hippopotamus                             8              0.04%
1422     his                                      8              0.04%
1423     honey                                    8              0.04%
1424     hurricane                                8              0.04%
1425     identify                                 8              0.04%
1426     include                                  8              0.04%
1427     infection                                8              0.04%
1428     innocent                                 8              0.04%
1429     insect                                   8              0.04%
1430     instead                                  8              0.04%
1431     institute                                8              0.04%
1432     international                            8              0.04%
1433     interrupt                                8              0.04%
1434     involve                                  8              0.04%
1435     jail                                     8              0.04%
1436     january                                  8              0.04%
1437     joke                                     8              0.04%
1438     june                                     8              0.04%
1439     kangaroo                                 8              0.04%
1440     karate                                   8              0.04%
1441     kick                                     8              0.04%
1442     kneel                                    8              0.04%
1443     knock                                    8              0.04%
1444     laptop                                   8              0.04%
1445     lift                                     8              0.04%
1446     lightning                                8              0.04%
1447     lip                                      8              0.04%
1448     lipstick                                 8              0.04%
1449     local                                    8              0.04%
1450     manage                                   8              0.04%
1451     mature                                   8              0.04%
1452     member                                   8              0.04%
1453     message                                  8              0.04%
1454     metal                                    8              0.04%
1455     microphone                               8              0.04%
1456     mix                                      8              0.04%
1457     monthly                                  8              0.04%
1458     motor                                    8              0.04%
1459     nation                                   8              0.04%
1460     network                                  8              0.04%
1461     nickel                                   8              0.04%
1462     nineteen                                 8              0.04%
1463     normal                                   8              0.04%
1464     november                                 8              0.04%
1465     nut                                      8              0.04%
1466     octopus                                  8              0.04%
1467     once                                     8              0.04%
1468     organize                                 8              0.04%
1469     over                                     8              0.04%
1470     owl                                      8              0.04%
1471     p                                        8              0.04%
1472     parachute                                8              0.04%
1473     paragraph                                8              0.04%
1474     parallel                                 8              0.04%
1475     pay attention                            8              0.04%
1476     peace                                    8              0.04%
1477     peanut butter                            8              0.04%
1478     perfume                                  8              0.04%
1479     personality                              8              0.04%
1480     pet                                      8              0.04%
1481     philadelphia                             8              0.04%
1482     physician                                8              0.04%
1483     piece                                    8              0.04%
1484     pity                                     8              0.04%
1485     plant                                    8              0.04%
1486     plenty                                   8              0.04%
1487     pneumonia                                8              0.04%
1488     politics                                 8              0.04%
1489     position                                 8              0.04%
1490     pound                                    8              0.04%
1491     pour                                     8              0.04%
1492     praise                                   8              0.04%
1493     preach                                   8              0.04%
1494     preacher                                 8              0.04%
1495     prefer                                   8              0.04%
1496     pressure                                 8              0.04%
1497     principal                                8              0.04%
1498     priority                                 8              0.04%
1499     professional                             8              0.04%
1500     professor                                8              0.04%
1501     promote                                  8              0.04%
1502     prostitute                               8              0.04%
1503     proud                                    8              0.04%
1504     quote                                    8              0.04%
1505     receive                                  8              0.04%
1506     recent                                   8              0.04%
1507     reduce                                   8              0.04%
1508     refer                                    8              0.04%
1509     referee                                  8              0.04%
1510     relate                                   8              0.04%
1511     relax                                    8              0.04%
1512     remote control                           8              0.04%
1513     rent                                     8              0.04%
1514     reputation                               8              0.04%
1515     resign                                   8              0.04%
1516     responsible                              8              0.04%
1517     ridiculous                               8              0.04%
1518     road                                     8              0.04%
1519     robot                                    8              0.04%
1520     rubber                                   8              0.04%
1521     safe                                     8              0.04%
1522     sauce                                    8              0.04%
1523     sausage                                  8              0.04%
1524     scold                                    8              0.04%
1525     senior                                   8              0.04%
1526     september                                8              0.04%
1527     several                                  8              0.04%
1528     shame                                    8              0.04%
1529     shave                                    8              0.04%
1530     shoulder                                 8              0.04%
1531     silver                                   8              0.04%
1532     simple                                   8              0.04%
1533     siren                                    8              0.04%
1534     size                                     8              0.04%
1535     skate                                    8              0.04%
1536     skin                                     8              0.04%
1537     skunk                                    8              0.04%
1538     slice                                    8              0.04%
1539     smooth                                   8              0.04%
1540     snack                                    8              0.04%
1541     snowman                                  8              0.04%
1542     society                                  8              0.04%
1543     someone                                  8              0.04%
1544     song                                     8              0.04%
1545     sore throat                              8              0.04%
1546     south america                            8              0.04%
1547     spanish                                  8              0.04%
1548     speak                                    8              0.04%
1549     speed                                    8              0.04%
1550     spell                                    8              0.04%
1551     spoon                                    8              0.04%
1552     spring                                   8              0.04%
1553     standard                                 8              0.04%
1554     statistics                               8              0.04%
1555     sticky                                   8              0.04%
1556     still                                    8              0.04%
1557     stretch                                  8              0.04%
1558     surgeon                                  8              0.04%
1559     sweden                                   8              0.04%
1560     swimsuit                                 8              0.04%
1561     sympathy                                 8              0.04%
1562     take turns                               8              0.04%
1563     take up                                  8              0.04%
1564     technology                               8              0.04%
1565     temple                                   8              0.04%
1566     tender                                   8              0.04%
1567     thailand                                 8              0.04%
1568     theater                                  8              0.04%
1569     them                                     8              0.04%
1570     theme                                    8              0.04%
1571     thick                                    8              0.04%
1572     this                                     8              0.04%
1573     throat                                   8              0.04%
1574     tissue                                   8              0.04%
1575     tongue                                   8              0.04%
1576     tonight                                  8              0.04%
1577     tornado                                  8              0.04%
1578     tower                                    8              0.04%
1579     tranquil                                 8              0.04%
1580     transform                                8              0.04%
1581     tutor                                    8              0.04%
1582     twin                                     8              0.04%
1583     value                                    8              0.04%
1584     visitor                                  8              0.04%
1585     waiter                                   8              0.04%
1586     wake up                                  8              0.04%
1587     wallet                                   8              0.04%
1588     wander                                   8              0.04%
1589     wash face                                8              0.04%
1590     weight                                   8              0.04%
1591     whale                                    8              0.04%
1592     whatever                                 8              0.04%
1593     within                                   8              0.04%
1594     wonder                                   8              0.04%
1595     worker                                   8              0.04%
1596     worthless                                8              0.04%
1597     wrap                                     8              0.04%
1598     complete                                 7              0.03%
1599     shoot                                    7              0.03%
1600     united states                            7              0.03%
1601     accent                                   7              0.03%
1602     act                                      7              0.03%
1603     adapt                                    7              0.03%
1604     adjective                                7              0.03%
1605     adjust                                   7              0.03%
1606     admire                                   7              0.03%
1607     admit                                    7              0.03%
1608     advanced                                 7              0.03%
1609     adverb                                   7              0.03%
1610     agreement                                7              0.03%
1611     aid                                      7              0.03%
1612     alligator                                7              0.03%
1613     amputate                                 7              0.03%
1614     anatomy                                  7              0.03%
1615     annoy                                    7              0.03%
1616     anyway                                   7              0.03%
1617     approach                                 7              0.03%
1618     arizona                                  7              0.03%
1619     assist                                   7              0.03%
1620     assume                                   7              0.03%
1621     attorney                                 7              0.03%
1622     audiologist                              7              0.03%
1623     audiology                                7              0.03%
1624     austria                                  7              0.03%
1625     author                                   7              0.03%
1626     available                                7              0.03%
1627     award                                    7              0.03%
1628     aware                                    7              0.03%
1629     bank                                     7              0.03%
1630     baptize                                  7              0.03%
1631     basic                                    7              0.03%
1632     battery                                  7              0.03%
1633     berry                                    7              0.03%
1634     beside                                   7              0.03%
1635     between                                  7              0.03%
1636     binoculars                               7              0.03%
1637     blow                                     7              0.03%
1638     boast                                    7              0.03%
1639     boil                                     7              0.03%
1640     bookshelf                                7              0.03%
1641     bookstore                                7              0.03%
1642     boxing                                   7              0.03%
1643     braid                                    7              0.03%
1644     brain                                    7              0.03%
1645     breakdown                                7              0.03%
1646     breakfast                                7              0.03%
1647     breeze                                   7              0.03%
1648     bribe                                    7              0.03%
1649     brochure                                 7              0.03%
1650     buffalo                                  7              0.03%
1651     burp                                     7              0.03%
1652     bush                                     7              0.03%
1653     bye                                      7              0.03%
1654     camel                                    7              0.03%
1655     candidate                                7              0.03%
1656     cannot                                   7              0.03%
1657     captain                                  7              0.03%
1658     carnival                                 7              0.03%
1659     cheerleader                              7              0.03%
1660     chemical                                 7              0.03%
1661     chicago                                  7              0.03%
1662     choke                                    7              0.03%
1663     christ                                   7              0.03%
1664     click                                    7              0.03%
1665     closet                                   7              0.03%
1666     clueless                                 7              0.03%
1667     clumsy                                   7              0.03%
1668     collect                                  7              0.03%
1669     comma                                    7              0.03%
1670     comment                                  7              0.03%
1671     commit                                   7              0.03%
1672     committee                                7              0.03%
1673     common sense                             7              0.03%
1674     compete                                  7              0.03%
1675     concentrate                              7              0.03%
1676     congratulations                          7              0.03%
1677     consider                                 7              0.03%
1678     construct                                7              0.03%
1679     consume                                  7              0.03%
1680     contest                                  7              0.03%
1681     conversation                             7              0.03%
1682     convert                                  7              0.03%
1683     cooperate                                7              0.03%
1684     counsel                                  7              0.03%
1685     counselor                                7              0.03%
1686     crave                                    7              0.03%
1687     create                                   7              0.03%
1688     crocodile                                7              0.03%
1689     crown                                    7              0.03%
1690     cuba                                     7              0.03%
1691     curtain                                  7              0.03%
1692     customer                                 7              0.03%
1693     d                                        7              0.03%
1694     damage                                   7              0.03%
1695     dancer                                   7              0.03%
1696     danger                                   7              0.03%
1697     dangerous                                7              0.03%
1698     dawn                                     7              0.03%
1699     death                                    7              0.03%
1700     debate                                   7              0.03%
1701     debt                                     7              0.03%
1702     deliver                                  7              0.03%
1703     democrat                                 7              0.03%
1704     descend                                  7              0.03%
1705     design                                   7              0.03%
1706     detective                                7              0.03%
1707     devil                                    7              0.03%
1708     dice                                     7              0.03%
1709     difficult                                7              0.03%
1710     dining room                              7              0.03%
1711     discipline                               7              0.03%
1712     discount                                 7              0.03%
1713     disgusted                                7              0.03%
1714     disturb                                  7              0.03%
1715     division                                 7              0.03%
1716     done                                     7              0.03%
1717     drag                                     7              0.03%
1718     dragon                                   7              0.03%
1719     drama                                    7              0.03%
1720     drug                                     7              0.03%
1721     due                                      7              0.03%
1722     dull                                     7              0.03%
1723     dusk                                     7              0.03%
1724     dvd                                      7              0.03%
1725     dye                                      7              0.03%
1726     e                                        7              0.03%
1727     either                                   7              0.03%
1728     electricity                              7              0.03%
1729     elementary                               7              0.03%
1730     else                                     7              0.03%
1731     emergency                                7              0.03%
1732     engine                                   7              0.03%
1733     enormous                                 7              0.03%
1734     eraser                                   7              0.03%
1735     every monday                             7              0.03%
1736     every tuesday                            7              0.03%
1737     everything                               7              0.03%
1738     except                                   7              0.03%
1739     exhibit                                  7              0.03%
1740     explode                                  7              0.03%
1741     express                                  7              0.03%
1742     f                                        7              0.03%
1743     fairy                                    7              0.03%
1744     familiar                                 7              0.03%
1745     festival                                 7              0.03%
1746     finance                                  7              0.03%
1747     fingerspell                              7              0.03%
1748     fire                                     7              0.03%
1749     firefighter                              7              0.03%
1750     five                                     7              0.03%
1751     flatter                                  7              0.03%
1752     fool                                     7              0.03%
1753     forgive                                  7              0.03%
1754     former                                   7              0.03%
1755     freeway                                  7              0.03%
1756     from now on                              7              0.03%
1757     g                                        7              0.03%
1758     gang                                     7              0.03%
1759     gay                                      7              0.03%
1760     geometry                                 7              0.03%
1761     get up                                   7              0.03%
1762     gift                                     7              0.03%
1763     grab                                     7              0.03%
1764     graduation                               7              0.03%
1765     grateful                                 7              0.03%
1766     grey                                     7              0.03%
1767     gymnastics                               7              0.03%
1768     h                                        7              0.03%
1769     hang up                                  7              0.03%
1770     hanukkah                                 7              0.03%
1771     heap                                     7              0.03%
1772     heart attack                             7              0.03%
1773     hill                                     7              0.03%
1774     holy                                     7              0.03%
1775     hop                                      7              0.03%
1776     host                                     7              0.03%
1777     hot dog                                  7              0.03%
1778     human                                    7              0.03%
1779     i                                        7              0.03%
1780     ill                                      7              0.03%
1781     illegal                                  7              0.03%
1782     impact                                   7              0.03%
1783     individual                               7              0.03%
1784     inspect                                  7              0.03%
1785     inspire                                  7              0.03%
1786     intersection                             7              0.03%
1787     ireland                                  7              0.03%
1788     iron                                     7              0.03%
1789     j                                        7              0.03%
1790     jewelry                                  7              0.03%
1791     journey                                  7              0.03%
1792     joy                                      7              0.03%
1793     july                                     7              0.03%
1794     k                                        7              0.03%
1795     kid                                      7              0.03%
1796     kindergarten                             7              0.03%
1797     lady                                     7              0.03%
1798     lamp                                     7              0.03%
1799     last week                                7              0.03%
1800     laundry                                  7              0.03%
1801     leader                                   7              0.03%
1802     league                                   7              0.03%
1803     leak                                     7              0.03%
1804     legal                                    7              0.03%
1805     let                                      7              0.03%
1806     liability                                7              0.03%
1807     librarian                                7              0.03%
1808     license                                  7              0.03%
1809     little bit                               7              0.03%
1810     loan                                     7              0.03%
1811     look at                                  7              0.03%
1812     look for                                 7              0.03%
1813     lord                                     7              0.03%
1814     m                                        7              0.03%
1815     meaning                                  7              0.03%
1816     melody                                   7              0.03%
1817     melt                                     7              0.03%
1818     mention                                  7              0.03%
1819     microscope                               7              0.03%
1820     midnight                                 7              0.03%
1821     military                                 7              0.03%
1822     mine                                     7              0.03%
1823     mistake                                  7              0.03%
1824     mock                                     7              0.03%
1825     moose                                    7              0.03%
1826     mosquito                                 7              0.03%
1827     motivate                                 7              0.03%
1828     murder                                   7              0.03%
1829     n                                        7              0.03%
1830     narrow                                   7              0.03%
1831     necessary                                7              0.03%
1832     negotiate                                7              0.03%
1833     new york                                 7              0.03%
1834     nine                                     7              0.03%
1835     northwest                                7              0.03%
1836     not yet                                  7              0.03%
1837     notice                                   7              0.03%
1838     numerous                                 7              0.03%
1839     nun                                      7              0.03%
1840     o                                        7              0.03%
1841     objective                                7              0.03%
1842     obsess                                   7              0.03%
1843     obtain                                   7              0.03%
1844     occur                                    7              0.03%
1845     odor                                     7              0.03%
1846     olympics                                 7              0.03%
1847     or                                       7              0.03%
1848     oral                                     7              0.03%
1849     our                                      7              0.03%
1850     overcome                                 7              0.03%
1851     pack                                     7              0.03%
1852     painter                                  7              0.03%
1853     part                                     7              0.03%
1854     pause                                    7              0.03%
1855     peaceful                                 7              0.03%
1856     pear                                     7              0.03%
1857     peel                                     7              0.03%
1858     penalty                                  7              0.03%
1859     pennsylvania                             7              0.03%
1860     penny                                    7              0.03%
1861     permit                                   7              0.03%
1862     phrase                                   7              0.03%
1863     pickle                                   7              0.03%
1864     pilot                                    7              0.03%
1865     player                                   7              0.03%
1866     polar bear                               7              0.03%
1867     policeman                                7              0.03%
1868     poop                                     7              0.03%
1869     post                                     7              0.03%
1870     potential                                7              0.03%
1871     poverty                                  7              0.03%
1872     precious                                 7              0.03%
1873     precipitation                            7              0.03%
1874     precise                                  7              0.03%
1875     preschool                                7              0.03%
1876     pride                                    7              0.03%
1877     prince                                   7              0.03%
1878     princess                                 7              0.03%
1879     principle                                7              0.03%
1880     process                                  7              0.03%
1881     profit                                   7              0.03%
1882     progress                                 7              0.03%
1883     propaganda                               7              0.03%
1884     proper                                   7              0.03%
1885     psychologist                             7              0.03%
1886     public                                   7              0.03%
1887     publish                                  7              0.03%
1888     purchase                                 7              0.03%
1889     pure                                     7              0.03%
1890     pursue                                   7              0.03%
1891     put off                                  7              0.03%
1892     q                                        7              0.03%
1893     quality                                  7              0.03%
1894     quarrel                                  7              0.03%
1895     quarter                                  7              0.03%
1896     r                                        7              0.03%
1897     rage                                     7              0.03%
1898     rather                                   7              0.03%
1899     real                                     7              0.03%
1900     recliner                                 7              0.03%
1901     recommend                                7              0.03%
1902     recover                                  7              0.03%
1903     regular                                  7              0.03%
1904     release                                  7              0.03%
1905     relief                                   7              0.03%
1906     rely                                     7              0.03%
1907     reply                                    7              0.03%
