WLASL Split-Gloss Summary


============================================================
TEST
============================================================
Total videos: 2878
Unique glosses: 1999

Gloss                                    Videos      
climb                                    1           
command                                  1           
community                                1           
complain                                 1           
compromise                               1           
contribute                               1           
cop                                      1           
cost                                     1           
couch                                    1           
cracker                                  1           
curious                                  1           
curriculum                               1           
dad                                      1           
deny                                     1           
describe                                 1           
diaper                                   1           
diarrhea                                 1           
disagree                                 1           
dissolve                                 1           
divide                                   1           
dolphin                                  1           
double                                   1           
doubt                                    1           
dumb                                     1           
earth                                    1           
earthquake                               1           
eight                                    1           
embarrass                                1           
emotion                                  1           
encourage                                1           
energy                                   1           
enough                                   1           
evaluate                                 1           
evidence                                 1           
exact                                    1           
exaggerate                               1           
expect                                   1           
fancy                                    1           
favorite                                 1           
finally                                  1           
fox                                      1           
french                                   1           
fruit                                    1           
function                                 1           
germany                                  1           
gloves                                   1           
goat                                     1           
goodbye                                  1           
grow                                     1           
gum                                      1           
half                                     1           
highway                                  1           
homework                                 1           
honor                                    1           
ice cream                                1           
if                                       1           
increase                                 1           
india                                    1           
information                              1           
interpret                                1           
interview                                1           
invite                                   1           
israel                                   1           
jesus                                    1           
keep                                     1           
keyboard                                 1           
land                                     1           
lawyer                                   1           
lead                                     1           
lesbian                                  1           
line                                     1           
lock                                     1           
loud                                     1           
lousy                                    1           
lunch                                    1           
machine                                  1           
mad                                      1           
memorize                                 1           
minus                                    1           
monday                                   1           
mountain                                 1           
mouth                                    1           
mushroom                                 1           
napkin                                   1           
neck                                     1           
next                                     1           
ocean                                    1           
open                                     1           
overwhelm                                1           
owe                                      1           
page                                     1           
pain                                     1           
parade                                   1           
parents                                  1           
perfect                                  1           
period                                   1           
philosophy                               1           
photographer                             1           
place                                    1           
policy                                   1           
popular                                  1           
pray                                     1           
predict                                  1           
presentation                             1           
print                                    1           
printer                                  1           
private                                  1           
procrastinate                            1           
project                                  1           
protect                                  1           
prove                                    1           
provide                                  1           
psychology                               1           
punish                                   1           
puzzled                                  1           
question                                 1           
quick                                    1           
rainbow                                  1           
rake                                     1           
rehearse                                 1           
remove                                   1           
revenge                                  1           
review                                   1           
rich                                     1           
roof                                     1           
rooster                                  1           
rude                                     1           
say                                      1           
scientist                                1           
scotland                                 1           
screwdriver                              1           
second                                   1           
senate                                   1           
separate                                 1           
service                                  1           
shrimp                                   1           
shy                                      1           
side                                     1           
situation                                1           
slave                                    1           
soccer                                   1           
socks                                    1           
solid                                    1           
sometimes                                1           
spider                                   1           
square                                   1           
stairs                                   1           
stare                                    1           
start                                    1           
store                                    1           
straw                                    1           
structure                                1           
suggest                                  1           
sun                                      1           
support                                  1           
suppose                                  1           
sure                                     1           
surprise                                 1           
sweater                                  1           
swim                                     1           
symbol                                   1           
taste                                    1           
team                                     1           
telephone                                1           
tennis                                   1           
their                                    1           
then                                     1           
thermometer                              1           
third                                    1           
thousand                                 1           
three                                    1           
tie                                      1           
topic                                    1           
touch                                    1           
tournament                               1           
try                                      1           
two                                      1           
umbrella                                 1           
vegetable                                1           
vocabulary                               1           
waste                                    1           
we                                       1           
weekly                                   1           
welcome                                  1           
winter                                   1           
without                                  1           
wolf                                     1           
worm                                     1           
wristwatch                               1           
yourself                                 1           
above                                    1           
accomplish                               1           
adopt                                    1           
advantage                                1           
alphabet                                 1           
anniversary                              1           
another                                  1           
appropriate                              1           
arrogant                                 1           
artist                                   1           
background                               1           
bee                                      1           
behavior                                 1           
bell                                     1           
birth                                    1           
bless                                    1           
blood                                    1           
boots                                    1           
brave                                    1           
breathe                                  1           
bright                                   1           
bull                                     1           
butterfly                                1           
card                                     1           
category                                 1           
catholic                                 1           
cent                                     1           
chemistry                                1           
cherry                                   1           
china                                    1           
chop                                     1           
christian                                1           
cigarette                                1           
clever                                   1           
clown                                    1           
coach                                    1           
coat                                     1           
cochlear implant                         1           
coconut                                  1           
common                                   1           
commute                                  1           
control                                  1           
count                                    1           
culture                                  1           
daily                                    1           
defend                                   1           
degree                                   1           
demonstrate                              1           
department                               1           
die                                      1           
dig                                      1           
dinner                                   1           
dinosaur                                 1           
diploma                                  1           
director                                 1           
disconnect                               1           
discover                                 1           
don't want                               1           
drum                                     1           
each                                     1           
educate                                  1           
electrician                              1           
empty                                    1           
england                                  1           
establish                                1           
excuse                                   1           
eyeglasses                               1           
faculty                                  1           
fall in love                             1           
famous                                   1           
farm                                     1           
fence                                    1           
fix                                      1           
flexible                                 1           
flirt                                    1           
flood                                    1           
fork                                     1           
four                                     1           
fun                                      1           
funeral                                  1           
furniture                                1           
gallaudet                                1           
general                                  1           
ghost                                    1           
give up                                  1           
glass                                    1           
gorilla                                  1           
gray                                     1           
guide                                    1           
habit                                    1           
health                                   1           
hearing aid                              1           
heaven                                   1           
heavy                                    1           
helmet                                   1           
hide                                     1           
high school                              1           
hockey                                   1           
hold                                     1           
honest                                   1           
hug                                      1           
hunt                                     1           
image                                    1           
influence                                1           
interesting                              1           
interpreter                              1           
iran                                     1           
italy                                    1           
jewish                                   1           
judge                                    1           
key                                      1           
label                                    1           
leaf                                     1           
left                                     1           
lend                                     1           
less                                     1           
linguistics                              1           
lonely                                   1           
long                                     1           
magic                                    1           
mainstream                               1           
major                                    1           
manager                                  1           
maximum                                  1           
me                                       1           
mexico                                   1           
middle                                   1           
mind                                     1           
misunderstand                            1           
monster                                  1           
multiply                                 1           
myself                                   1           
nothing                                  1           
october                                  1           
odd                                      1           
offer                                    1           
on                                       1           
only                                     1           
opposite                                 1           
out                                      1           
overlook                                 1           
path                                     1           
percent                                  1           
physics                                  1           
piano                                    1           
pick                                     1           
pie                                      1           
plate                                    1           
pocket                                   1           
popcorn                                  1           
positive                                 1           
pregnant                                 1           
prevent                                  1           
proof                                    1           
pumpkin                                  1           
purpose                                  1           
race                                     1           
realize                                  1           
recognize                                1           
refuse                                   1           
relationship                             1           
repeat                                   1           
replace                                  1           
report                                   1           
represent                                1           
request                                  1           
responsibility                           1           
result                                   1           
reveal                                   1           
ring                                     1           
rob                                      1           
rock                                     1           
role                                     1           
rope                                     1           
rush                                     1           
salute                                   1           
satisfy                                  1           
search                                   1           
selfish                                  1           
sensitive                                1           
serve                                    1           
seven                                    1           
shampoo                                  1           
she                                      1           
shelf                                    1           
shopping                                 1           
sign language                            1           
similar                                  1           
sing                                     1           
six                                      1           
skeleton                                 1           
sketch                                   1           
skill                                    1           
sleepy                                   1           
slip                                     1           
smell                                    1           
sneeze                                   1           
snob                                     1           
specific                                 1           
stamp                                    1           
steel                                    1           
strawberry                               1           
subtract                                 1           
subway                                   1           
suffer                                   1           
surface                                  1           
sweep                                    1           
swing                                    1           
switzerland                              1           
tale                                     1           
tan                                      1           
teeth                                    1           
terrible                                 1           
thankful                                 1           
they                                     1           
through                                  1           
tiptoe                                   1           
title                                    1           
tooth                                    1           
toothbrush                               1           
total                                    1           
tough                                    1           
tradition                                1           
trophy                                   1           
trouble                                  1           
true                                     1           
trust                                    1           
under                                    1           
verb                                     1           
wall                                     1           
watermelon                               1           
way                                      1           
weird                                    1           
while                                    1           
wide                                     1           
willing                                  1           
wish                                     1           
wonderful                                1           
workshop                                 1           
worse                                    1           
wrench                                   1           
a                                        1           
a lot                                    1           
abdomen                                  1           
able                                     1           
accountant                               1           
action                                   1           
active                                   1           
activity                                 1           
address                                  1           
affect                                   1           
afraid                                   1           
against                                  1           
agenda                                   1           
ahead                                    1           
aim                                      1           
alcohol                                  1           
algebra                                  1           
all day                                  1           
amazing                                  1           
angle                                    1           
apart                                    1           
apostrophe                               1           
appetite                                 1           
appreciate                               1           
april                                    1           
archery                                  1           
around                                   1           
article                                  1           
assistant                                1           
attend                                   1           
auction                                  1           
authority                                1           
average                                  1           
awake                                    1           
b                                        1           
babysitter                               1           
battle                                   1           
beginning                                1           
belief                                   1           
bible                                    1           
bike                                     1           
blend                                    1           
bone                                     1           
bra                                      1           
brief                                    1           
broke                                    1           
bug                                      1           
bully                                    1           
button                                   1           
cabbage                                  1           
cabinet                                  1           
calculate                                1           
calculator                               1           
calculus                                 1           
camping                                  1           
canoe                                    1           
careless                                 1           
ceiling                                  1           
cemetery                                 1           
chapter                                  1           
choir                                    1           
circle                                   1           
come                                     1           
come here                                1           
company                                  1           
complete                                 1           
concept                                  1           
concern                                  1           
confront                                 1           
confused                                 1           
congress                                 1           
connect                                  1           
conquer                                  1           
constitution                             1           
contract                                 1           
court                                    1           
crab                                     1           
cross                                    1           
cruel                                    1           
crush                                    1           
date                                     1           
december                                 1           
decrease                                 1           
deduct                                   1           
defeat                                   1           
deposit                                  1           
depressed                                1           
detach                                   1           
determine                                1           
diabetes                                 1           
dime                                     1           
dirt                                     1           
disgust                                  1           
dismiss                                  1           
dizzy                                    1           
document                                 1           
dorm                                     1           
dormitory                                1           
downstairs                               1           
economy                                  1           
education                                1           
effort                                   1           
eighteen                                 1           
engage                                   1           
engagement                               1           
engineer                                 1           
envelope                                 1           
erase                                    1           
eternity                                 1           
evening                                  1           
everyday                                 1           
expand                                   1           
eye                                      1           
eyes                                     1           
fake                                     1           
farmer                                   1           
february                                 1           
federal                                  1           
final                                    1           
florida                                  1           
flute                                    1           
forbid                                   1           
forever                                  1           
fourth                                   1           
free                                     1           
french fries                             1           
gamble                                   1           
gas                                      1           
gasoline                                 1           
generation                               1           
geography                                1           
german                                   1           
girlfriend                               1           
gold                                     1           
grandma                                  1           
grass                                    1           
grow up                                  1           
gun                                      1           
haircut                                  1           
hard of hearing                          1           
hippopotamus                             1           
his                                      1           
honey                                    1           
hurricane                                1           
identify                                 1           
include                                  1           
infection                                1           
innocent                                 1           
insect                                   1           
instead                                  1           
institute                                1           
international                            1           
interrupt                                1           
involve                                  1           
jail                                     1           
january                                  1           
joke                                     1           
june                                     1           
kangaroo                                 1           
karate                                   1           
kick                                     1           
kneel                                    1           
knock                                    1           
laptop                                   1           
lift                                     1           
lightning                                1           
lip                                      1           
lipstick                                 1           
local                                    1           
manage                                   1           
mature                                   1           
member                                   1           
message                                  1           
metal                                    1           
microphone                               1           
mix                                      1           
monthly                                  1           
motor                                    1           
nation                                   1           
network                                  1           
nickel                                   1           
nineteen                                 1           
normal                                   1           
november                                 1           
nut                                      1           
octopus                                  1           
once                                     1           
organize                                 1           
over                                     1           
owl                                      1           
p                                        1           
parachute                                1           
paragraph                                1           
parallel                                 1           
pay attention                            1           
peace                                    1           
peanut butter                            1           
perfume                                  1           
personality                              1           
pet                                      1           
philadelphia                             1           
physician                                1           
piece                                    1           
pity                                     1           
plant                                    1           
plenty                                   1           
pneumonia                                1           
politics                                 1           
position                                 1           
pound                                    1           
pour                                     1           
praise                                   1           
preach                                   1           
preacher                                 1           
prefer                                   1           
pressure                                 1           
principal                                1           
priority                                 1           
professional                             1           
professor                                1           
promote                                  1           
prostitute                               1           
proud                                    1           
quote                                    1           
receive                                  1           
recent                                   1           
reduce                                   1           
refer                                    1           
referee                                  1           
relate                                   1           
relax                                    1           
remote control                           1           
rent                                     1           
reputation                               1           
resign                                   1           
responsible                              1           
ridiculous                               1           
road                                     1           
robot                                    1           
rubber                                   1           
safe                                     1           
sauce                                    1           
sausage                                  1           
scold                                    1           
senior                                   1           
september                                1           
several                                  1           
shame                                    1           
shave                                    1           
shoot                                    1           
shoulder                                 1           
silver                                   1           
simple                                   1           
siren                                    1           
size                                     1           
skate                                    1           
skin                                     1           
skunk                                    1           
slice                                    1           
smooth                                   1           
snack                                    1           
snowman                                  1           
society                                  1           
someone                                  1           
song                                     1           
sore throat                              1           
south america                            1           
spanish                                  1           
speak                                    1           
speed                                    1           
spell                                    1           
spoon                                    1           
spring                                   1           
standard                                 1           
statistics                               1           
sticky                                   1           
still                                    1           
stretch                                  1           
surgeon                                  1           
sweden                                   1           
swimsuit                                 1           
sympathy                                 1           
take turns                               1           
take up                                  1           
technology                               1           
temple                                   1           
tender                                   1           
thailand                                 1           
theater                                  1           
them                                     1           
theme                                    1           
thick                                    1           
this                                     1           
throat                                   1           
tissue                                   1           
tongue                                   1           
tonight                                  1           
tornado                                  1           
tower                                    1           
tranquil                                 1           
transform                                1           
tutor                                    1           
twin                                     1           
united states                            1           
value                                    1           
visitor                                  1           
waiter                                   1           
wake up                                  1           
wallet                                   1           
wander                                   1           
wash face                                1           
weight                                   1           
whale                                    1           
whatever                                 1           
within                                   1           
wonder                                   1           
worker                                   1           
worthless                                1           
wrap                                     1           
accent                                   1           
act                                      1           
adapt                                    1           
adjective                                1           
adjust                                   1           
admire                                   1           
admit                                    1           
advanced                                 1           
adverb                                   1           
agreement                                1           
aid                                      1           
alligator                                1           
amputate                                 1           
anatomy                                  1           
annoy                                    1           
anyway                                   1           
approach                                 1           
arizona                                  1           
assist                                   1           
assume                                   1           
attorney                                 1           
audiologist                              1           
audiology                                1           
austria                                  1           
author                                   1           
available                                1           
award                                    1           
aware                                    1           
bank                                     1           
baptize                                  1           
basic                                    1           
battery                                  1           
berry                                    1           
beside                                   1           
between                                  1           
binoculars                               1           
blow                                     1           
boast                                    1           
boil                                     1           
bookshelf                                1           
bookstore                                1           
boxing                                   1           
braid                                    1           
brain                                    1           
breakdown                                1           
breakfast                                1           
breeze                                   1           
bribe                                    1           
brochure                                 1           
buffalo                                  1           
burp                                     1           
bush                                     1           
bye                                      1           
camel                                    1           
candidate                                1           
cannot                                   1           
captain                                  1           
carnival                                 1           
cheerleader                              1           
chemical                                 1           
chicago                                  1           
choke                                    1           
christ                                   1           
click                                    1           
closet                                   1           
clueless                                 1           
clumsy                                   1           
collect                                  1           
comma                                    1           
comment                                  1           
commit                                   1           
committee                                1           
common sense                             1           
compete                                  1           
concentrate                              1           
congratulations                          1           
consider                                 1           
construct                                1           
consume                                  1           
contest                                  1           
conversation                             1           
convert                                  1           
cooperate                                1           
counsel                                  1           
